time,connections,txPkts,txBytes,rxPkts,rxBytes
2018-03-15T11:59,181,55213,4826809,59195,61833534
2018-03-15T12:00,58,4655,829739,3654,1291077
2018-03-15T12:01,36,6243,702817,8373,9428066
2018-03-15T12:02,6,1754,256288,2356,2630064
2018-03-15T12:03,10,1136,212427,873,432557
2018-03-15T12:04,4,886,174966,649,253943
2018-03-15T12:05,2,12,3615,10,4390
2018-03-15T12:06,0,0,0,0,0
2018-03-15T12:07,1,0,0,0,0
2018-03-15T12:08,0,0,0,0,0
2018-03-15T12:09,0,0,0,0,0
2018-03-15T12:10,0,0,0,0,0
2018-03-15T12:11,0,0,0,0,0
2018-03-15T12:12,2,1287,615017,1043,261753
2018-03-15T12:13,0,0,0,0,0
2018-03-15T12:14,0,0,0,0,0
2018-03-15T12:15,0,0,0,0,0
2018-03-15T12:16,0,0,0,0,0
2018-03-15T12:17,0,0,0,0,0
2018-03-15T12:18,0,0,0,0,0
2018-03-15T12:19,4,480,50250,390,197940
2018-03-15T12:20,0,0,0,0,0
2018-03-15T12:21,1,12,2419,10,4318
2018-03-15T12:22,0,0,0,0,0
2018-03-15T12:23,0,0,0,0,0
2018-03-15T12:24,6,4376,602973,3834,2763387
2018-03-15T12:25,2,42,7333,33,16859
2018-03-15T12:26,0,0,0,0,0
2018-03-15T12:27,0,0,0,0,0
2018-03-15T12:28,0,0,0,0,0
2018-03-15T12:29,148,46355,3498580,47504,58380337
2018-03-15T12:30,75,3415,448248,2803,1234522
2018-03-15T12:31,47,5984,803692,9311,11322604
2018-03-15T12:32,49,7620,858579,8126,7723079
2018-03-15T12:33,0,0,0,0,0
2018-03-15T12:34,1,11,2234,10,4306
2018-03-15T12:35,0,0,0,0,0
2018-03-15T12:36,0,0,0,0,0
2018-03-15T12:37,0,0,0,0,0
2018-03-15T12:38,0,0,0,0,0
2018-03-15T12:39,0,0,0,0,0
2018-03-15T12:40,0,0,0,0,0
2018-03-15T12:41,1,82,17987,75,25500
2018-03-15T12:42,1,3,1495,2,847
2018-03-15T12:43,0,0,0,0,0
2018-03-15T12:44,0,0,0,0,0
2018-03-15T12:45,0,0,0,0,0
2018-03-15T12:46,1,11,2005,10,4300
2018-03-15T12:47,0,0,0,0,0
2018-03-15T12:48,0,0,0,0,0
2018-03-15T12:49,0,0,0,0,0
2018-03-15T12:50,0,0,0,0,0
2018-03-15T12:51,0,0,0,0,0
2018-03-15T12:52,0,0,0,0,0
2018-03-15T12:53,0,0,0,0,0
2018-03-15T12:54,0,0,0,0,0
2018-03-15T12:55,0,0,0,0,0
2018-03-15T12:56,0,0,0,0,0
2018-03-15T12:57,0,0,0,0,0
2018-03-15T12:58,0,0,0,0,0
2018-03-15T12:59,0,0,0,0,0
2018-03-15T13:00,0,0,0,0,0
2018-03-15T13:01,0,0,0,0,0
2018-03-15T13:02,0,0,0,0,0
2018-03-15T13:03,0,0,0,0,0
2018-03-15T13:04,0,0,0,0,0
2018-03-15T13:05,0,0,0,0,0
2018-03-15T13:06,0,0,0,0,0
2018-03-15T13:07,0,0,0,0,0
2018-03-15T13:08,0,0,0,0,0
2018-03-15T13:09,0,0,0,0,0
2018-03-15T13:10,0,0,0,0,0
2018-03-15T13:11,0,0,0,0,0
2018-03-15T13:12,0,0,0,0,0
2018-03-15T13:13,0,0,0,0,0
2018-03-15T13:14,0,0,0,0,0
2018-03-15T13:15,5,0,0,0,0
2018-03-15T13:16,111,39322,4682932,51019,62085722
2018-03-15T13:17,0,0,0,0,0
2018-03-15T13:18,0,0,0,0,0
2018-03-15T13:19,0,0,0,0,0
2018-03-15T13:20,0,0,0,0,0
2018-03-15T13:21,0,0,0,0,0
2018-03-15T13:22,0,0,0,0,0
2018-03-15T13:23,0,0,0,0,0
2018-03-15T13:24,0,0,0,0,0
2018-03-15T13:25,0,0,0,0,0
2018-03-15T13:26,0,0,0,0,0
2018-03-15T13:27,0,0,0,0,0
2018-03-15T13:28,0,0,0,0,0
2018-03-15T13:29,0,0,0,0,0
2018-03-15T13:30,0,0,0,0,0
2018-03-15T13:31,0,0,0,0,0
2018-03-15T13:32,0,0,0,0,0
2018-03-15T13:33,0,0,0,0,0
2018-03-15T13:34,49,6501,1132368,5428,2325875
2018-03-15T13:35,256,15469,2421415,14336,10331581
2018-03-15T13:36,46,2764,445399,4238,5310813
2018-03-15T13:37,113,14065,2427877,13569,9929932
2018-03-15T13:38,9,1012,114151,867,387100
2018-03-15T13:39,2,0,0,0,0
2018-03-15T13:40,0,0,0,0,0
2018-03-15T13:41,1,11,1456,8,3958
2018-03-15T13:42,1,13,4318,11,4683
2018-03-15T13:43,0,0,0,0,0
2018-03-15T13:44,2,28,1994,26,16771
2018-03-15T13:45,0,0,0,0,0
2018-03-15T13:46,0,0,0,0,0
2018-03-15T13:47,0,0,0,0,0
2018-03-15T13:48,0,0,0,0,0
2018-03-15T13:49,0,0,0,0,0
2018-03-15T13:50,1,1680,214200,1200,497520
2018-03-15T13:51,0,0,0,0,0
2018-03-15T13:52,1,27,4660,21,9638
2018-03-15T13:53,0,0,0,0,0
2018-03-15T13:54,0,0,0,0,0
2018-03-15T13:55,0,0,0,0,0
2018-03-15T13:56,0,0,0,0,0
2018-03-15T13:57,0,0,0,0,0
2018-03-15T13:58,4,0,0,0,0
2018-03-15T13:59,107,35058,3089158,34796,37907326
2018-03-15T14:00,98,6423,1364657,5228,2786933
2018-03-15T14:01,34,1999,145634,3945,5180853
2018-03-15T14:02,27,39661,2610874,67793,94905927
2018-03-15T14:03,2,57,10925,49,24988
2018-03-15T14:04,0,0,0,0,0
2018-03-15T14:05,0,0,0,0,0
2018-03-15T14:06,0,0,0,0,0
2018-03-15T14:07,1,50,12646,38,11138
2018-03-15T14:08,0,0,0,0,0
2018-03-15T14:09,1,0,0,0,0
2018-03-15T14:10,0,0,0,0,0
2018-03-15T14:11,0,0,0,0,0
2018-03-15T14:12,0,0,0,0,0
2018-03-15T14:13,1,11,1982,10,4294
2018-03-15T14:14,0,0,0,0,0
2018-03-15T14:15,0,0,0,0,0
2018-03-15T14:16,1,27,27020,25,4887
2018-03-15T14:17,0,0,0,0,0
2018-03-15T14:18,0,0,0,0,0
2018-03-15T14:19,0,0,0,0,0
2018-03-15T14:20,0,0,0,0,0
2018-03-15T14:21,0,0,0,0,0
2018-03-15T14:22,0,0,0,0,0
2018-03-15T14:23,0,0,0,0,0
2018-03-15T14:24,0,0,0,0,0
2018-03-15T14:25,0,0,0,0,0
2018-03-15T14:26,0,0,0,0,0
2018-03-15T14:27,5,12,3218,10,4336
2018-03-15T14:28,0,0,0,0,0
2018-03-15T14:29,198,46779,4047214,55642,64001458
2018-03-15T14:30,35,1643,119648,4409,5910199
2018-03-15T14:31,16,4731,682018,6329,7048652
2018-03-15T14:32,3,748,114620,830,755212
2018-03-15T14:33,0,0,0,0,0
2018-03-15T14:34,2,139,32448,123,44222
2018-03-15T14:35,0,0,0,0,0
2018-03-15T14:36,0,0,0,0,0
2018-03-15T14:37,1,17,1829,18,16906
2018-03-15T14:38,0,0,0,0,0
2018-03-15T14:39,2,390,47010,300,192300
2018-03-15T14:40,0,0,0,0,0
2018-03-15T14:41,1,12,4271,10,4292
2018-03-15T14:42,0,0,0,0,0
2018-03-15T14:43,0,0,0,0,0
2018-03-15T14:44,0,0,0,0,0
2018-03-15T14:45,0,0,0,0,0
2018-03-15T14:46,1,11,1506,10,4344
2018-03-15T14:47,2,900,113940,720,361200
2018-03-15T14:48,0,0,0,0,0
2018-03-15T14:49,0,0,0,0,0
2018-03-15T14:50,3,0,0,0,0
2018-03-15T14:51,0,0,0,0,0
2018-03-15T14:52,0,0,0,0,0
2018-03-15T14:53,0,0,0,0,0
2018-03-15T14:54,0,0,0,0,0
2018-03-15T14:55,1,11,2245,9,4254
2018-03-15T14:56,0,0,0,0,0
